servicio,canal,canal_origen,urgencia,mensaje_largo,referido,tratamiento_prev,interes_activo,es_mañana,dias_recientes,hora_contacto,dias_desde_contacto,nombre,correo,telefono
Cirugía oral,Instagram,Llamada directa,Baja,1,0,0,0,0,1,14,1,Diana Herrera Martínez,diana65@gmail.com,+51 915577865
Carillas,Instagram,Página web,Media,0,0,1,1,0,0,18,1,Fiorella Martínez Castro,fiorella93@yahoo.es,+51 946540681
Ortodoncia,WhatsApp,Google Ads,Baja,1,0,1,0,0,0,18,7,Carmen Herrera Flores,carmen23@gmail.com,+51 950166496
Limpieza dental,Facebook,Página web,Alta,1,1,0,0,1,0,16,5,María Quispe Martínez,maría83@yahoo.es,+51 954187137
Blanqueamiento,WhatsApp,Google Ads,Alta,0,1,0,1,0,0,22,1,José Rodríguez Torres,josé84@outlook.com,+51 919378555
Limpieza dental,Facebook,Google Ads,Media,1,0,0,1,0,0,21,7,Ana Quispe Silva,ana30@outlook.com,+51 959083661
Revisión general,Otro,Página web,Baja,0,1,0,0,0,0,10,8,Jessica Cruz Gómez,jessica91@gmail.com,+51 986598119
Blanqueamiento,Instagram,Llamada directa,Baja,1,0,0,1,1,1,14,0,Jorge Rojas Martínez,jorge85@yahoo.es,+51 968512044
Limpieza dental,Instagram,Google Ads,Alta,0,0,0,0,0,0,19,12,Elena Gómez Sánchez,elena58@outlook.com,+51 914956859
Limpieza dental,WhatsApp,Recomendación,Media,0,1,1,1,0,1,17,8,María Mendoza Cruz,maría84@hotmail.com,+51 981399579
Blanqueamiento,Facebook,Llamada directa,Baja,0,0,0,1,0,1,19,6,Diana Gómez Morales,diana63@hotmail.com,+51 937089018
Implantes,WhatsApp,Google Ads,Baja,0,0,0,1,0,0,15,2,Jorge Silva Ruiz,jorge64@hotmail.com,+51 919730706
Limpieza dental,Instagram,Página web,Media,0,1,1,0,0,0,5,3,Ana Vásquez Silva,ana71@gmail.com,+51 962540369
Implantes,WhatsApp,Google Ads,Media,0,0,1,1,1,1,19,2,Luis Flores Martínez,luis99@outlook.com,+51 977335981
Endodoncia,Instagram,Llamada directa,Alta,1,0,0,1,0,0,16,0,Luis Rodríguez Rojas,luis23@hotmail.com,+51 965195295
Ortodoncia,Instagram,Recomendación,Media,0,0,1,1,1,0,11,6,Diana Silva Morales,diana22@outlook.com,+51 981666356
Cirugía oral,Otro,Llamada directa,Alta,0,0,0,1,1,1,13,4,José García Cruz,josé16@outlook.com,+51 975794652
Blanqueamiento,Otro,Llamada directa,Baja,1,0,0,0,1,0,16,8,Jorge Torres Ruiz,jorge24@gmail.com,+51 958219153
Ortodoncia,Facebook,Llamada directa,Alta,0,0,1,0,0,1,9,7,Andrea Ruiz Cruz,andrea25@gmail.com,+51 940467170
Ortodoncia,WhatsApp,Google Ads,Alta,0,1,0,1,0,0,20,7,Lucía Rodríguez Sánchez,lucía84@yahoo.es,+51 984055589
Endodoncia,Otro,Google Ads,Baja,0,0,0,1,0,1,13,5,Luis Mendoza Gómez,luis74@hotmail.com,+51 961843288
Limpieza dental,Otro,Google Ads,Alta,1,1,1,0,0,0,10,2,Raúl Martínez Pérez,raúl89@outlook.com,+51 925837925
Endodoncia,Otro,Página web,Baja,0,1,1,0,0,0,21,7,Miguel Mendoza Herrera,miguel34@yahoo.es,+51 980929637
Ortodoncia,WhatsApp,Página web,Alta,0,0,1,1,0,1,10,6,Rosa Vásquez Mendoza,rosa60@outlook.com,+51 910632013
Extracción,Instagram,Página web,Media,1,0,1,0,0,1,12,5,Lucía Quispe Morales,lucía57@outlook.com,+51 960927743
Ortodoncia,Instagram,Llamada directa,Alta,1,1,0,0,0,0,15,4,Jorge García Herrera,jorge12@yahoo.es,+51 917669991
Limpieza dental,WhatsApp,Página web,Media,1,1,0,0,1,1,14,4,Miguel Mendoza Martínez,miguel69@yahoo.es,+51 940341229
Blanqueamiento,Facebook,Recomendación,Alta,1,1,0,1,0,1,14,2,Jessica Torres Gómez,jessica35@outlook.com,+51 990929456
Ortodoncia,Facebook,Llamada directa,Baja,0,1,1,1,0,0,15,9,Fiorella Silva Castro,fiorella63@gmail.com,+51 938588538
Endodoncia,Instagram,Llamada directa,Media,1,1,1,0,1,0,13,0,Carlos Cruz Ramírez,carlos50@outlook.com,+51 916023712
Limpieza dental,Facebook,Google Ads,Media,0,1,0,1,0,0,11,5,Luis Cruz Pérez,luis87@gmail.com,+51 930638461
Revisión general,Instagram,Recomendación,Alta,1,0,0,1,0,1,24,5,Lucía Vásquez Flores,lucía36@outlook.com,+51 954876676
Cirugía oral,Otro,Página web,Alta,1,1,1,1,0,0,22,6,Fiorella Pérez Herrera,fiorella42@gmail.com,+51 910210285
Implantes,Instagram,Recomendación,Media,1,1,1,0,1,0,12,3,María García Silva,maría95@hotmail.com,+51 988261906
Endodoncia,Facebook,Página web,Media,0,0,0,0,0,0,11,6,Jessica Gómez García,jessica11@yahoo.es,+51 936383942
Endodoncia,Otro,Google Ads,Media,0,0,1,0,0,1,16,9,Karla Flores Cruz,karla12@hotmail.com,+51 944931305
Implantes,Instagram,Página web,Alta,0,1,0,0,0,1,15,3,Rosa Rodríguez Ramírez,rosa98@hotmail.com,+51 995469221
Endodoncia,Facebook,Recomendación,Alta,1,1,1,1,1,1,4,9,Jessica Ruiz Rojas,jessica94@outlook.com,+51 998254165
Limpieza dental,Facebook,Página web,Alta,0,0,1,1,0,0,12,5,Jessica Ruiz Sánchez,jessica61@gmail.com,+51 924097374
Revisión general,Facebook,Recomendación,Media,1,1,1,1,0,1,6,7,Diana Rojas Ruiz,diana57@yahoo.es,+51 949765123
Implantes,WhatsApp,Página web,Alta,0,0,0,0,0,1,12,1,María Martínez Silva,maría91@hotmail.com,+51 928258083
Carillas,Facebook,Página web,Alta,0,1,0,0,0,1,17,8,Rosa Mendoza Morales,rosa51@yahoo.es,+51 957826714
Endodoncia,WhatsApp,Recomendación,Baja,0,1,1,0,0,1,15,12,Raúl Ramírez Martínez,raúl64@hotmail.com,+51 947634268
Implantes,WhatsApp,Página web,Media,1,0,1,1,0,1,6,2,José Rojas Rodríguez,josé69@gmail.com,+51 925049550
Ortodoncia,Otro,Página web,Media,1,1,1,0,1,0,13,4,Jorge Ramírez Flores,jorge68@hotmail.com,+51 992926943
Extracción,WhatsApp,Recomendación,Baja,1,1,1,1,1,0,16,8,Carmen Chávez Cruz,carmen61@gmail.com,+51 938129176
Endodoncia,WhatsApp,Recomendación,Alta,1,0,1,0,1,1,18,2,Karla Rojas Quispe,karla87@yahoo.es,+51 976600803
Ortodoncia,Facebook,Llamada directa,Alta,0,0,1,0,0,0,14,8,Elena Castro Sánchez,elena19@gmail.com,+51 932038935
Extracción,WhatsApp,Página web,Alta,1,1,1,1,0,0,15,1,María Ruiz Pérez,maría79@hotmail.com,+51 929047396
Ortodoncia,WhatsApp,Recomendación,Media,1,1,0,1,0,0,12,3,María Rodríguez García,maría95@gmail.com,+51 919019870
Endodoncia,Instagram,Recomendación,Media,1,0,0,1,0,1,12,7,Renzo Castro Rojas,renzo89@gmail.com,+51 921389811
Ortodoncia,Otro,Recomendación,Media,1,0,1,1,1,0,12,9,Fernando Rodríguez Silva,fernando55@yahoo.es,+51 988959649
Carillas,Instagram,Llamada directa,Media,0,0,1,1,1,1,14,8,Diana Rodríguez Martínez,diana27@gmail.com,+51 922860664
Implantes,WhatsApp,Llamada directa,Media,1,0,1,1,1,0,8,6,Andrea Martínez Cruz,andrea64@outlook.com,+51 983006660
Extracción,WhatsApp,Llamada directa,Media,1,1,1,1,0,0,9,2,Andrea Sánchez García,andrea12@outlook.com,+51 921286085
Extracción,Facebook,Página web,Baja,1,1,0,0,0,0,16,5,María Silva Vásquez,maría40@gmail.com,+51 930118551
Blanqueamiento,Facebook,Recomendación,Alta,0,1,1,0,1,0,14,4,Miguel Rojas Ramírez,miguel42@outlook.com,+51 965960690
Cirugía oral,Otro,Página web,Media,1,0,1,1,0,0,10,7,Jessica Torres Castro,jessica96@outlook.com,+51 911465153
Limpieza dental,Instagram,Google Ads,Media,0,1,0,0,1,1,14,5,Fernando Castro Cruz,fernando16@outlook.com,+51 911303496
Endodoncia,Facebook,Llamada directa,Baja,0,0,0,1,0,0,11,3,Renzo Rodríguez Flores,renzo34@yahoo.es,+51 975703313
Limpieza dental,Instagram,Página web,Baja,1,1,0,1,1,1,15,7,Ana Castro Ramírez,ana27@gmail.com,+51 968356630
Limpieza dental,Otro,Google Ads,Media,1,1,0,0,1,1,15,4,José Flores Morales,josé46@hotmail.com,+51 929310919
Carillas,Facebook,Google Ads,Alta,1,1,1,1,0,1,13,3,Fiorella Torres García,fiorella21@hotmail.com,+51 954430439
Cirugía oral,Facebook,Google Ads,Media,1,1,1,1,0,1,10,5,Fiorella Morales Morales,fiorella97@outlook.com,+51 973576193
Cirugía oral,WhatsApp,Página web,Baja,1,0,1,0,1,1,11,3,Rosa Flores Herrera,rosa64@gmail.com,+51 976775098
Endodoncia,Instagram,Google Ads,Baja,1,0,0,0,1,0,11,3,Miguel Silva Gómez,miguel48@gmail.com,+51 914610104
Implantes,Facebook,Google Ads,Media,0,1,0,1,1,1,10,9,Diana Cruz Flores,diana28@gmail.com,+51 943205726
Extracción,Facebook,Página web,Alta,0,1,0,1,1,1,14,1,Karla Cruz Castro,karla91@outlook.com,+51 943314965
Endodoncia,Instagram,Recomendación,Alta,1,1,1,1,1,1,15,10,Miguel Chávez Ramírez,miguel46@yahoo.es,+51 973993301
Blanqueamiento,Facebook,Recomendación,Media,1,0,1,0,1,1,18,9,Karla Rodríguez Chávez,karla24@hotmail.com,+51 961496923
Carillas,Instagram,Página web,Baja,0,0,0,1,0,0,14,1,Karla García Pérez,karla18@hotmail.com,+51 973524332
Blanqueamiento,WhatsApp,Google Ads,Media,0,1,0,1,0,0,14,6,Renzo Castro Ruiz,renzo16@yahoo.es,+51 993765062
Revisión general,Instagram,Llamada directa,Baja,1,1,0,0,0,0,11,6,José Silva Silva,josé48@outlook.com,+51 997017154
Limpieza dental,Instagram,Llamada directa,Baja,0,0,1,1,0,1,13,5,Fiorella Ruiz Castro,fiorella17@hotmail.com,+51 996103569
Carillas,WhatsApp,Recomendación,Media,0,0,0,1,0,1,16,5,Elena Rojas Sánchez,elena39@yahoo.es,+51 936948862
Revisión general,Otro,Llamada directa,Alta,1,0,1,1,0,0,14,4,Pedro Pérez Mendoza,pedro20@outlook.com,+51 993653271
Extracción,Instagram,Página web,Alta,0,1,0,0,1,1,22,3,Ana Silva Ramírez,ana43@yahoo.es,+51 978129147
Blanqueamiento,Instagram,Llamada directa,Alta,1,0,0,1,0,1,11,4,José Flores Ruiz,josé82@hotmail.com,+51 960178738
Revisión general,Facebook,Google Ads,Media,0,1,0,0,0,1,8,9,José Chávez Silva,josé32@outlook.com,+51 928088968
Carillas,Otro,Google Ads,Baja,1,1,1,0,1,0,11,10,María Herrera Castro,maría16@hotmail.com,+51 978188427
Ortodoncia,Otro,Llamada directa,Media,1,1,1,0,0,0,20,0,Luis Flores Sánchez,luis58@yahoo.es,+51 922353216
Revisión general,Otro,Recomendación,Media,0,0,1,1,0,1,20,5,Ana Rodríguez Morales,ana24@outlook.com,+51 957146528
Extracción,Instagram,Recomendación,Baja,0,0,0,1,1,0,13,5,Raúl Silva García,raúl64@outlook.com,+51 961216422
Implantes,Facebook,Google Ads,Media,0,1,1,0,0,0,14,6,Rosa Quispe Herrera,rosa61@gmail.com,+51 995968150
Carillas,Facebook,Página web,Alta,1,0,1,0,0,0,18,4,Carmen Torres Silva,carmen37@gmail.com,+51 916476433
Ortodoncia,Otro,Página web,Media,1,0,0,0,0,1,19,7,Lucía Vásquez Ruiz,lucía12@yahoo.es,+51 963868162
Revisión general,WhatsApp,Llamada directa,Alta,0,1,0,1,0,1,6,9,Miguel Silva Rojas,miguel19@gmail.com,+51 955546683
Limpieza dental,Otro,Google Ads,Alta,0,0,1,1,0,0,15,8,Lucía Castro Herrera,lucía93@outlook.com,+51 934404163
Extracción,Facebook,Recomendación,Media,0,1,1,0,1,0,20,0,Carmen Vásquez Herrera,carmen25@gmail.com,+51 968055213
Revisión general,Instagram,Página web,Alta,0,1,1,0,0,0,16,5,Fernando Ruiz Pérez,fernando24@gmail.com,+51 950042105
Extracción,Otro,Página web,Alta,1,0,0,0,1,0,7,4,Fiorella Mendoza Quispe,fiorella77@yahoo.es,+51 931877500
Carillas,WhatsApp,Recomendación,Baja,1,0,0,1,0,1,22,4,Lucía Gómez Silva,lucía88@yahoo.es,+51 984109063
Ortodoncia,WhatsApp,Recomendación,Media,0,1,1,1,0,0,17,6,Carmen Rodríguez Pérez,carmen70@outlook.com,+51 915678189
Cirugía oral,Instagram,Llamada directa,Alta,1,0,1,0,1,0,9,0,María García Quispe,maría77@yahoo.es,+51 997549453
Limpieza dental,WhatsApp,Recomendación,Media,0,0,1,0,0,1,12,11,Lucía Silva Torres,lucía40@yahoo.es,+51 947282649
Limpieza dental,WhatsApp,Llamada directa,Media,1,0,1,1,0,1,17,12,Karla Torres Castro,karla94@hotmail.com,+51 941645647
Endodoncia,Otro,Llamada directa,Baja,1,1,0,1,1,1,13,7,María Silva Morales,maría39@gmail.com,+51 935935767
Limpieza dental,Instagram,Página web,Baja,1,0,1,1,1,0,19,4,Diana Castro Sánchez,diana74@outlook.com,+51 960621916
Extracción,Instagram,Llamada directa,Baja,1,1,0,0,0,0,17,8,Diana Ruiz Ruiz,diana36@hotmail.com,+51 995820952
Implantes,Facebook,Google Ads,Alta,1,1,0,0,0,1,16,3,Andrea Quispe Ramírez,andrea44@yahoo.es,+51 969727220
Extracción,Instagram,Llamada directa,Media,1,1,0,1,0,0,11,9,Renzo Flores Vásquez,renzo75@outlook.com,+51 934774220
Implantes,Facebook,Página web,Alta,1,1,1,1,1,0,15,12,Luis García Chávez,luis72@gmail.com,+51 911505777
Cirugía oral,Instagram,Llamada directa,Alta,0,1,1,1,0,0,22,5,María Pérez Sánchez,maría54@yahoo.es,+51 916404833
Limpieza dental,Instagram,Página web,Alta,0,1,0,0,0,0,17,7,Carlos Vásquez Morales,carlos33@hotmail.com,+51 966495635
Endodoncia,WhatsApp,Google Ads,Baja,0,1,1,1,0,0,17,9,Renzo Chávez Flores,renzo28@yahoo.es,+51 994018091
Limpieza dental,Otro,Google Ads,Alta,0,1,0,0,0,0,9,4,Carmen Vásquez Ruiz,carmen64@hotmail.com,+51 932970670
Carillas,Instagram,Página web,Alta,1,1,1,0,0,1,13,4,Luis Ruiz Sánchez,luis53@hotmail.com,+51 989655848
Implantes,WhatsApp,Google Ads,Alta,1,0,1,0,0,1,14,4,Raúl Ruiz Silva,raúl11@hotmail.com,+51 974117387
Endodoncia,Instagram,Google Ads,Baja,1,1,0,1,0,0,14,7,Diana Rodríguez Ruiz,diana99@yahoo.es,+51 913828299
Carillas,Instagram,Llamada directa,Media,1,1,0,0,1,0,18,4,José Vásquez Torres,josé62@gmail.com,+51 972010769
Extracción,Instagram,Página web,Alta,0,1,1,1,0,0,10,4,Andrea Rodríguez Pérez,andrea20@hotmail.com,+51 974061699
Limpieza dental,WhatsApp,Recomendación,Baja,1,0,1,0,0,0,15,11,Raúl Gómez Silva,raúl36@gmail.com,+51 967232376
Revisión general,Facebook,Llamada directa,Media,0,0,0,0,0,1,15,5,Jorge Castro Rodríguez,jorge65@yahoo.es,+51 913213823
Implantes,WhatsApp,Recomendación,Media,1,1,1,1,1,1,19,4,Raúl Quispe Torres,raúl86@gmail.com,+51 976808015
Carillas,Facebook,Recomendación,Alta,1,0,1,0,0,0,15,9,Jorge Flores Vásquez,jorge13@hotmail.com,+51 958017019
Extracción,WhatsApp,Página web,Alta,1,0,1,1,1,0,12,4,Karla Sánchez Martínez,karla17@outlook.com,+51 972612177
Ortodoncia,Otro,Página web,Alta,1,1,0,0,0,0,6,6,Fernando Silva Torres,fernando73@hotmail.com,+51 961005250
Carillas,Instagram,Google Ads,Alta,0,0,0,0,0,1,14,5,Pedro Pérez Quispe,pedro93@outlook.com,+51 927492816
Carillas,WhatsApp,Página web,Baja,0,0,1,1,0,1,14,5,Diana Sánchez Morales,diana30@hotmail.com,+51 920238324
Revisión general,Facebook,Google Ads,Alta,1,0,1,1,0,0,14,0,Jorge Vásquez Morales,jorge73@yahoo.es,+51 954138491
Implantes,Instagram,Recomendación,Alta,1,0,1,0,1,1,19,6,Ana Martínez Rodríguez,ana68@hotmail.com,+51 953116002
Implantes,Facebook,Recomendación,Alta,1,1,0,1,0,0,17,8,Rosa Ruiz Sánchez,rosa21@hotmail.com,+51 922758248
Cirugía oral,Facebook,Llamada directa,Baja,0,0,0,0,0,0,12,8,Luis Flores Ruiz,luis95@outlook.com,+51 981443233
Carillas,Instagram,Google Ads,Baja,0,1,1,1,0,0,12,11,José Gómez Ramírez,josé61@outlook.com,+51 911376472
Implantes,WhatsApp,Página web,Alta,0,0,1,1,0,1,15,2,José Martínez Ruiz,josé84@hotmail.com,+51 960296425
Carillas,Instagram,Llamada directa,Alta,1,1,1,0,0,1,10,2,Lucía Chávez Rodríguez,lucía42@outlook.com,+51 989892076
Blanqueamiento,Otro,Llamada directa,Baja,0,1,1,0,0,0,13,7,Carlos Morales Quispe,carlos87@outlook.com,+51 913126104
Implantes,Facebook,Página web,Alta,1,0,1,1,0,1,14,3,Andrea Castro Quispe,andrea80@hotmail.com,+51 936369629
Cirugía oral,Facebook,Llamada directa,Alta,0,1,0,0,0,0,11,9,Pedro García Rodríguez,pedro59@gmail.com,+51 932711605
Blanqueamiento,WhatsApp,Recomendación,Alta,1,0,1,0,1,1,13,7,Carmen García Rojas,carmen29@hotmail.com,+51 988595260
Blanqueamiento,Facebook,Página web,Alta,1,1,0,0,0,1,11,7,Jorge Rodríguez Sánchez,jorge83@outlook.com,+51 952219990
Revisión general,Otro,Llamada directa,Media,0,0,1,1,0,0,24,6,Raúl Cruz Chávez,raúl38@gmail.com,+51 934401158
Implantes,WhatsApp,Llamada directa,Media,0,1,0,1,0,0,21,5,Lucía Cruz Silva,lucía61@gmail.com,+51 932619551
Limpieza dental,Facebook,Recomendación,Baja,1,0,1,0,0,1,13,7,Karla Castro Ramírez,karla74@gmail.com,+51 987544990
Extracción,Facebook,Recomendación,Alta,1,0,1,0,0,0,10,8,Pedro Gómez Silva,pedro89@hotmail.com,+51 929519523
Limpieza dental,Instagram,Llamada directa,Alta,0,0,1,0,1,0,3,7,Ana Cruz Sánchez,ana11@outlook.com,+51 965136897
Endodoncia,Otro,Google Ads,Media,1,1,0,0,0,0,9,5,Ana Gómez Pérez,ana56@hotmail.com,+51 943391023
Endodoncia,WhatsApp,Llamada directa,Media,1,1,1,0,0,0,18,0,Elena Chávez Morales,elena27@yahoo.es,+51 938637181
Carillas,Otro,Llamada directa,Baja,1,1,0,0,1,1,14,4,Carlos Mendoza Cruz,carlos57@outlook.com,+51 994477571
Limpieza dental,Facebook,Google Ads,Baja,1,0,0,0,0,0,15,4,Pedro Mendoza Chávez,pedro39@hotmail.com,+51 931916305
Revisión general,Instagram,Llamada directa,Alta,1,0,0,1,0,1,16,7,Fiorella Silva Pérez,fiorella24@hotmail.com,+51 998406097
Blanqueamiento,Facebook,Llamada directa,Alta,1,1,1,0,1,1,12,10,Carmen Quispe Rodríguez,carmen22@hotmail.com,+51 951792669
Cirugía oral,Otro,Recomendación,Baja,1,1,1,1,0,0,18,1,Miguel Pérez Sánchez,miguel92@yahoo.es,+51 910924665
Limpieza dental,WhatsApp,Recomendación,Baja,1,1,1,0,0,0,16,4,Fernando Martínez Chávez,fernando50@outlook.com,+51 926602553
Ortodoncia,WhatsApp,Google Ads,Alta,0,0,1,1,0,1,13,3,Miguel Rojas Herrera,miguel40@outlook.com,+51 948530616
Ortodoncia,Instagram,Llamada directa,Media,0,1,1,1,1,0,14,2,Pedro Rojas Herrera,pedro26@yahoo.es,+51 983964193
Cirugía oral,WhatsApp,Recomendación,Baja,0,1,0,0,0,0,18,7,Jessica Vásquez Gómez,jessica19@outlook.com,+51 944157968
Limpieza dental,Otro,Página web,Media,0,1,0,1,0,1,17,7,José Chávez Mendoza,josé87@outlook.com,+51 979035884
Blanqueamiento,WhatsApp,Recomendación,Media,0,0,0,1,1,1,8,5,Jessica Ramírez Morales,jessica17@yahoo.es,+51 948891801
Limpieza dental,Facebook,Llamada directa,Alta,0,0,1,1,0,1,19,7,Lucía Castro Herrera,lucía91@gmail.com,+51 978506284
Ortodoncia,Facebook,Llamada directa,Baja,0,1,1,0,0,0,15,14,Karla Vásquez Ramírez,karla31@outlook.com,+51 984249340
Blanqueamiento,Otro,Recomendación,Baja,0,1,1,0,0,0,12,7,Andrea Gómez Rojas,andrea63@hotmail.com,+51 947928743
Revisión general,Instagram,Página web,Media,0,1,0,1,0,1,11,0,Carlos Flores Sánchez,carlos15@hotmail.com,+51 968130378
Limpieza dental,Otro,Recomendación,Baja,0,1,1,0,0,0,13,6,Diana Pérez Rojas,diana25@hotmail.com,+51 949803011
Revisión general,WhatsApp,Recomendación,Media,1,0,0,1,1,1,14,7,Renzo Mendoza Torres,renzo59@yahoo.es,+51 912536349
Endodoncia,Otro,Página web,Media,1,1,0,1,0,0,11,2,Karla Castro Herrera,karla73@yahoo.es,+51 929890760
Blanqueamiento,WhatsApp,Página web,Baja,1,1,1,0,1,0,15,6,Jessica Rodríguez Silva,jessica51@hotmail.com,+51 998444752
Limpieza dental,Otro,Recomendación,Alta,1,0,1,0,0,0,10,7,Miguel Morales Gómez,miguel95@yahoo.es,+51 966345500
Blanqueamiento,Instagram,Página web,Alta,0,0,1,0,0,0,5,5,Jessica Torres Mendoza,jessica11@gmail.com,+51 928924423
Extracción,Otro,Google Ads,Alta,1,1,0,0,1,0,14,9,Rosa Sánchez Ramírez,rosa82@gmail.com,+51 976767017
Endodoncia,Facebook,Recomendación,Baja,1,1,0,0,0,1,16,6,Carlos Rodríguez Castro,carlos23@yahoo.es,+51 914130434
Revisión general,WhatsApp,Recomendación,Alta,1,1,0,1,0,0,17,5,Diana Sánchez Gómez,diana84@hotmail.com,+51 979478299
Carillas,WhatsApp,Recomendación,Baja,1,1,0,0,1,0,19,1,Fernando Ramírez Torres,fernando65@hotmail.com,+51 936062533
Extracción,Otro,Google Ads,Media,0,0,0,0,0,1,8,0,Diana Castro Mendoza,diana72@yahoo.es,+51 975784586
Cirugía oral,Otro,Llamada directa,Baja,1,0,1,0,1,0,15,1,Rosa Mendoza García,rosa73@gmail.com,+51 917704298
Endodoncia,Facebook,Recomendación,Media,0,1,1,1,1,0,18,7,José Ruiz Pérez,josé96@gmail.com,+51 932940398
Ortodoncia,Facebook,Página web,Media,1,1,1,0,0,1,14,4,Jorge Herrera Cruz,jorge25@yahoo.es,+51 965118851
Revisión general,Instagram,Google Ads,Alta,0,1,0,1,1,1,14,2,Diana Vásquez Pérez,diana75@gmail.com,+51 935068210
Extracción,Otro,Google Ads,Alta,0,1,1,0,0,0,16,5,Carmen Rodríguez Quispe,carmen92@hotmail.com,+51 918593837
Carillas,Facebook,Google Ads,Alta,1,0,1,1,1,0,18,5,Ana Castro Rodríguez,ana70@outlook.com,+51 935627679
Ortodoncia,WhatsApp,Google Ads,Media,1,1,1,1,1,1,14,3,Ana García Ruiz,ana19@gmail.com,+51 927433308
Endodoncia,Instagram,Google Ads,Alta,0,0,1,0,0,0,15,6,María Ruiz Gómez,maría69@outlook.com,+51 989540090
Ortodoncia,Facebook,Recomendación,Alta,1,1,0,0,0,0,11,10,Pedro Quispe Martínez,pedro63@yahoo.es,+51 929887954
Extracción,Instagram,Página web,Baja,0,0,1,0,1,0,11,2,José Vásquez Ruiz,josé57@yahoo.es,+51 992859025
Blanqueamiento,Otro,Recomendación,Baja,0,0,0,0,1,0,8,6,Fiorella Cruz Mendoza,fiorella28@yahoo.es,+51 924665979
Cirugía oral,Facebook,Google Ads,Media,0,1,0,0,1,0,7,1,Ana Morales Ruiz,ana39@hotmail.com,+51 937481776
Revisión general,Otro,Google Ads,Baja,1,1,0,0,0,0,16,9,José Silva Morales,josé31@hotmail.com,+51 946927458
Carillas,WhatsApp,Página web,Baja,1,0,0,0,0,1,14,1,Luis Herrera Herrera,luis70@yahoo.es,+51 911602036
Blanqueamiento,WhatsApp,Google Ads,Media,1,1,0,0,0,0,13,0,Andrea Rodríguez Morales,andrea93@hotmail.com,+51 936561057
Endodoncia,Otro,Google Ads,Media,0,0,1,0,1,1,17,6,Fernando Martínez Cruz,fernando90@gmail.com,+51 921303088
Revisión general,Otro,Página web,Alta,0,1,0,1,0,1,21,2,Lucía Cruz Cruz,lucía71@yahoo.es,+51 940134296
Extracción,Instagram,Google Ads,Baja,0,0,0,1,1,1,14,12,Lucía Herrera Castro,lucía45@outlook.com,+51 948708762
Revisión general,Instagram,Google Ads,Alta,1,1,1,1,1,0,9,1,Lucía Herrera Castro,lucía72@outlook.com,+51 930585913
Carillas,Instagram,Google Ads,Alta,0,1,0,1,1,0,14,0,José Mendoza Rojas,josé61@yahoo.es,+51 960750419
Endodoncia,Instagram,Llamada directa,Media,0,1,1,1,0,0,17,6,Diana Ramírez Castro,diana43@outlook.com,+51 913627966
Extracción,Otro,Google Ads,Baja,1,1,1,0,1,0,7,0,Luis Gómez Pérez,luis17@gmail.com,+51 925857797
Limpieza dental,Facebook,Página web,Baja,1,0,1,0,0,1,19,0,Karla Sánchez Torres,karla37@outlook.com,+51 941566187
Ortodoncia,Instagram,Llamada directa,Alta,0,0,0,1,0,1,11,2,Ana Rodríguez Cruz,ana80@outlook.com,+51 955793108
Endodoncia,Facebook,Recomendación,Baja,1,0,0,1,1,1,19,2,Luis Vásquez Castro,luis38@gmail.com,+51 992780557
Ortodoncia,Otro,Llamada directa,Baja,0,1,0,0,1,0,14,3,Pedro Vásquez Mendoza,pedro45@outlook.com,+51 948698051
Cirugía oral,Instagram,Recomendación,Media,0,0,1,0,0,0,10,3,Andrea Castro Vásquez,andrea46@hotmail.com,+51 921878174
Limpieza dental,Facebook,Llamada directa,Alta,1,1,0,0,1,1,16,2,Raúl Martínez Chávez,raúl27@hotmail.com,+51 926509569
Extracción,Facebook,Página web,Media,0,1,1,1,0,1,11,8,Pedro Quispe Pérez,pedro48@yahoo.es,+51 945297933
Revisión general,Instagram,Página web,Baja,0,1,1,1,0,0,5,5,Fernando Vásquez Cruz,fernando52@yahoo.es,+51 915931326
Limpieza dental,Otro,Google Ads,Alta,1,1,0,0,1,1,13,5,José García García,josé98@gmail.com,+51 944143567
Extracción,Instagram,Google Ads,Alta,0,0,0,0,0,0,20,5,María Ramírez Ruiz,maría26@hotmail.com,+51 973808252
Limpieza dental,Facebook,Recomendación,Media,1,0,0,0,0,1,11,5,Pedro Ruiz Gómez,pedro35@gmail.com,+51 962890027
Blanqueamiento,Facebook,Página web,Alta,0,1,1,0,0,0,8,5,Miguel Herrera Herrera,miguel30@yahoo.es,+51 960772535
Blanqueamiento,Otro,Google Ads,Baja,0,1,1,0,0,0,10,7,Diana Rodríguez Ruiz,diana45@hotmail.com,+51 977489784
Blanqueamiento,WhatsApp,Recomendación,Alta,0,1,1,0,0,0,12,8,Jorge Chávez Sánchez,jorge62@yahoo.es,+51 950627566
Carillas,Facebook,Página web,Baja,0,0,0,1,0,1,20,8,Jorge Torres Ruiz,jorge60@hotmail.com,+51 921208883
Revisión general,Instagram,Página web,Media,0,0,1,1,0,1,7,13,María Mendoza Gómez,maría12@hotmail.com,+51 958951003
Endodoncia,WhatsApp,Llamada directa,Alta,1,0,1,1,1,0,13,2,Renzo García Torres,renzo97@outlook.com,+51 969001223
Extracción,Otro,Recomendación,Baja,0,0,1,1,0,0,9,3,Jessica Silva Morales,jessica84@outlook.com,+51 994133805
